_id,gid,genre,Q,A,hard
1,1,古代オリエント,ゾロアスター教で、悪の神を何と呼ぶ?,アーリマン,
2,1,古代オリエント,ササン朝で国教とされたゾロアスター教の聖典を何というか?,アヴェスター,
3,1,古代オリエント,紀元前550年にメディアを滅ぼし建国されたのは何か?,アケメネス朝,
4,1,古代オリエント,紀元前24世紀頃にシュメール人の都市国家を次々征服してメソポタミアで最初の統一王朝を建設したのは何人か?,アッカド人,
5,1,古代オリエント,紀元前1340年頃、ミタンニ王国を攻撃して首都ワシュカンニを占領したアッシリアの王は?,アッシュール・ウバリト1世,難
6,1,古代オリエント,アッシリア史上最後の偉大な征服者と言われ、紀元前7世紀に外征を繰り返した新アッシリア王国の王は?,アッシュールバニパル,
7,1,古代オリエント,紀元前7世紀前半に全オリエントを支配したのはどこか?,アッシリア,
8,1,古代オリエント,ゾロアスター教で、善の神（光の神）を何と呼ぶ?,アフラ・マズダ,
9,1,古代オリエント,古バビロニアを建国したセム系民族は何か?,アムル人,
10,1,古代オリエント,紀元前12世紀から紀元前8世紀頃までダマスカスを中心に内陸貿易していたのは何人か?,アラム人,
11,1,古代オリエント,紀元前722年にアッシリアに滅ぼされたのはどこか?,イスラエル王国,
12,1,古代オリエント,紀元前4000～3000年頃、金石併用時代から青銅器時代初期にかけてシュメール人が作り、最初期の都市国家を形成した先史文化は?,ウルク文化,
13,1,古代オリエント,6世紀頃、ササン朝のホスロー1世が突厥と結んで滅ぼした遊牧国家は?,エフタル,
14,1,古代オリエント,ヘブライ人が紀元前10世紀頃に建設した王国の都はどこか?,エルサレム,
15,1,古代オリエント,神が弟の供物のみを受け取り、恥をかかされたことが動機になったという、旧約聖書に登場する人類最初の殺人犯は誰?,カイン,
16,3,古代ギリシア・ヘレニズム,アレクサンダー大王がダレイオス３世率いるペルシャ軍を壊滅させた戦いは?,ガウガメラの戦い,
17,1,古代オリエント,紀元前18～12世紀頃までバビロニアに王朝を作り、エジプト、ヒッタイト、ミタンニ等と並ぶ強国として勢力を振るった民族は?,カッシート,
18,1,古代オリエント,旧約聖書に書かれている紀元前609年にバビロニアのネブカドネザル２世がエジプトのネコ２世と激突した戦いは?,カルケミシュの戦い,難
19,1,古代オリエント,アッシリアから独立し、新バビロニアを建てたセム系の民族は何か?,カルデア人,
20,1,古代オリエント,チグリス川中流にある町でササン朝ペルシアの首都が置かれたのは？,クテシフォン,
21,1,古代オリエント,紀元前1020年頃にイスラエル王国を建国し初代国王となった人物は?,サウル,
22,1,古代オリエント,224年にアルダシール1世がパルティアを倒して建設した王朝は何か?,ササン朝,
23,1,古代オリエント,ダレイオス１世は全土を20州に分けた。州知事のことを何という?,サトラップ,
24,1,古代オリエント,ウルのものがよく知られる、古代メソポタミアで作られた日乾煉瓦で数階層に組み上げて建てられた聖塔を何という?,ジッグラト,
25,1,古代オリエント,エジプトにある山で、旧約聖書でモーゼが「十戒」を授かった山といえばどこ?,シナイ山,
26,1,古代オリエント,ササン朝第２代の王で、ローマ皇帝ヴァレリアヌスを捕虜にしたのは誰?,シャープール１世,
27,1,古代オリエント,紀元前3000年頃にメソポタミアに都市国家群を建設したのは何人か?,シュメール人,
28,3,古代ギリシア・ヘレニズム,アレクサンドロスの死後に西アジアを支配下に入れた、アンティオキアを首都に立った王朝はどこか?,セレウコス朝シリア,
29,1,古代オリエント,善悪二元論、最後の審判を説き火を神聖視するペルシアの宗教は何か?,ゾロアスター教,
30,1,古代オリエント,第３代、全盛期の王で、エルサレムに神殿を建設したのは誰?,ソロモン,
31,1,古代オリエント,ヘブライ人の第２代の王で、エルサレムを都としたのは誰?,ダヴィデ,
32,1,古代オリエント,アケメネス朝の王で新都ペルセポリス造営や各州にサトラップを置いて統治したのは誰か?,ダレイオス一世,
33,1,古代オリエント,"11,000年以上前に穀物を栽培した跡が見られ、人類最古の農業が行われていたとされるメソポタミア西部（現シリア）の考古遺跡は？",テル・アブ・フレイラ,難
34,1,古代オリエント,アケメネス朝ペルシアに敗れた新バビロニア最後の王は誰?,ナボニドゥス,難
35,1,古代オリエント,アッシリアの首都でもあったチグリス川東岸の古代都市は?,ニネヴェ,
36,1,古代オリエント,アラブ軍が642年にササン朝ペルシアを破った戦いを何という?,ニハーヴァンドの戦い,
37,1,古代オリエント,紀元前20世紀ごろにメソポタミアに侵入したアムル人がバビロンを都として建設したのは何か?,バビロン第一王朝（古バビロニア王国）,
38,1,古代オリエント,新バビロニアがエルサレムの住民をバビロンに強制移住させたことを何という?,バビロン捕囚,
40,1,古代オリエント,紀元前248年頃にセレウコス朝から独立しローマ帝国と抗争した、イラン系遊牧民がカスピ海沿岸に建てた国はどこか?,パルティア,
41,1,古代オリエント,紀元前18世紀頃にメソポタミアを統一したのは誰か?,ハンムラビ王,
42,1,古代オリエント,紀元前18世紀頃に制定された古バビロニアの法典で、復讐法・身分法の原則を持つ成文法典は何か?,ハンムラビ法典,
44,1,古代オリエント,紀元前1680年頃小アジアに国家建設し、その後紀元前15世紀頃アナトリア半島に強大な王国を築いた、最初の鉄器文化を築いたとされる民族は?,ヒッタイト,
45,1,古代オリエント,紀元前12世紀以降にシドンやティルスを中心に地中海貿易に従事していたセム系民族は?,フェニキア人,
46,1,古代オリエント,世界最古の表音文字でアルファベットの起源となった文字は何か?,フェニキア文字,
47,1,古代オリエント,キリスト教の布教に活躍したイエスの弟子を2名あげよ。,ペテロ、パウロ,
48,1,古代オリエント,紀元前13世紀ごろモーセにひきいられてエジプトを脱したのは何人か?,ヘブライ人,
50,1,古代オリエント,アケメネス朝ペルシア第3代の王、ダレイオス一世が造営した新しい都は?,ペルセポリス,
51,1,古代オリエント,紀元前167年に勃発したセレウコス朝に対するユダヤ人の反乱とそれに続く戦争を何という?,マカバイ戦争,
52,1,古代オリエント,3世紀前半に成立した、ゾロアスター教・仏教・キリスト教が融合した、徹底的な善悪二元論と禁欲を説く宗教は何か?,マニ教,
53,1,古代オリエント,アッシリア滅亡後、イランに建国されたインド=ヨーロッパ語族の国を何という?,メディア王国,
54,1,古代オリエント,ヘブライ人の指導者で、「出エジプト」を実行したのは誰?,モーセ,
55,1,古代オリエント,ユダヤ教の唯一神を何と呼ぶ?,ヤハウェ,
56,1,古代オリエント,紀元前538年に新バビロニアが滅ぼされ、エルサレムに帰還したヘブライ人が生んだ唯一神ヤハウェを信仰する宗教は何か?,ユダヤ教,
57,1,古代オリエント,紀元前586年に新バビロニアに滅ぼされたのはどこか?,ユダ王国,
59,1,古代オリエント,前1200年頃、東地中海沿岸を攻撃した系統不明の民族は何か?,海の民,難
60,1,古代オリエント,ペルシアによって解放された後に成立したユダヤ教の聖典は何か?,旧約聖書,
61,1,古代オリエント,死海の北西にあるクムラン洞窟周辺で発見された主にヘブライ語聖書（旧約聖書）と聖書関連の文書からなる写本群を何という?,死海文書,
62,1,古代オリエント,アッシリアが反乱で滅び、その後成立した四王国は何か?,新バビロニア・リディア・メディア・エジプト,
63,1,古代オリエント,紀元前930年頃にヘブライ王国が分裂した結果、北に誕生した国は?,北イスラエル王国,
64,1,古代オリエント,シュメール人が作り粘土板に記したもので、諸民族に利用された文字は何か?,楔形文字,
65,2,古代エジプト,アメンホテプ4世の宗教改革で唯一神と定められたのは何という神か?,アトン,
67,2,古代エジプト,紀元前14世紀頃のエジプトで生まれた写実的な美術は何か?,アマルナ美術,
68,2,古代エジプト,エジプト新王国の王で、テル・エル・アマルナに遷都したのは誰?,アメンホテプ4世,
69,2,古代エジプト,紀元前14世紀頃のエジプト新王国で、唯一神アトンの信仰を強制したのは誰か?,アメンホテプ4世（イクナートン）,
70,2,古代エジプト,紀元前1274年にシリアのオロンテス川一帯で起きた、古代エジプトとヒッタイトの戦いは?,カデシュの戦い,
71,2,古代エジプト,紀元前3000年頃に始まり、紀元前後のローマ帝国の侵入によって衰えた、北アフリカのヌビア地方を中心に繁栄した文明は?,クシュ,難
72,2,古代エジプト,ギザの三大ピラミッドのうち、最大のものは?,クフ王のピラミッド,
